Bin:all	home_number:4534017	home_cali:0.421754042828	home_model:0.412157018615	away_number:4534017	away_cali:0.467504202124	away_model:0.371831439365	end_number:4534017	end_cali:0.1104779713	end_model:0.216011542133	kld:0.042674050397	mae:0.0702677859346
Bin:period_3-scoreDifferential_3-zone_oz-manpowerSituation_evenStrength-home_away_1-	home_number:8131	home_cali:0.439429344484	home_model:0.366925235659	away_number:8131	away_cali:0.140819087443	away_model:0.351330995836	end_number:8131	end_cali:0.418767679252	end_model:0.281743768293	kld:0.116458423049	mae:0.140013309392
Bin:period_2-scoreDifferential_5-zone_nz-manpowerSituation_evenStrength-home_away_0-	home_number:758	home_cali:0.484168865435	home_model:0.40871005008	away_number:758	away_cali:0.473614775726	away_model:0.364285480241	end_number:758	end_cali:0.0422163588391	end_model:0.227004467576	kld:0.135320141826	mae:0.123192073192
Bin:period_2-scoreDifferential_-1-zone_dz-manpowerSituation_evenStrength-home_away_0-	home_number:52092	home_cali:0.427090532135	home_model:0.415123788393	away_number:52092	away_cali:0.525416570683	away_model:0.377358767778	end_number:52092	end_cali:0.0474928971819	end_model:0.207517443651	kld:0.116013172459	mae:0.106683031039
Bin:period_3-scoreDifferential_4-zone_oz-manpowerSituation_evenStrength-home_away_1-	home_number:4514	home_cali:0.206911829863	home_model:0.365480413515	away_number:4514	away_cali:0.213336287107	away_model:0.352669642283	end_number:4514	end_cali:0.579530350022	end_model:0.281849943373	kld:0.192798209484	mae:0.198527448493
Bin:period_1-scoreDifferential_-4-zone_oz-manpowerSituation_evenStrength-home_away_1-	home_number:292	home_cali:0.119863013699	home_model:0.454703905403	away_number:292	away_cali:0.880136986301	away_model:0.370066359741	end_number:292	end_cali:0.0	end_model:0.175229735826	kld:0.602733490896	mae:0.340047084697
Bin:period_3-scoreDifferential_5-zone_oz-manpowerSituation_powerPlay-home_away_0-	home_number:801	home_cali:0.0973782771536	home_model:0.356262618232	away_number:801	away_cali:0.401997503121	away_model:0.377468281953	end_number:801	end_cali:0.500624219725	end_model:0.266269098336	kld:0.215071797594	mae:0.172589561212
Bin:period_3-scoreDifferential_0-zone_dz-manpowerSituation_evenStrength-home_away_1-	home_number:59253	home_cali:0.421109479689	home_model:0.361908740442	away_number:59253	away_cali:0.409143840818	away_model:0.347578664738	end_number:59253	end_cali:0.169746679493	end_model:0.290512594937	kld:0.0393082210262	mae:0.0805106102571
Bin:period_2-scoreDifferential_3-zone_oz-manpowerSituation_shortHanded-home_away_1-	home_number:92	home_cali:0.380434782609	home_model:0.415129925043	away_number:92	away_cali:0.565217391304	away_model:0.382305112951	end_number:92	end_cali:0.054347826087	end_model:0.202564961813	kld:0.116288974835	mae:0.121941518838
Bin:period_2-scoreDifferential_6-zone_oz-manpowerSituation_evenStrength-home_away_0-	home_number:268	home_cali:0.14552238806	home_model:0.413804757061	away_number:268	away_cali:0.652985074627	away_model:0.365123345044	end_number:268	end_cali:0.201492537313	end_model:0.22107189811	kld:0.208826866132	mae:0.191907819794
Bin:period_1-scoreDifferential_-3-zone_dz-manpowerSituation_evenStrength-home_away_0-	home_number:1836	home_cali:0.458061002179	home_model:0.446611174928	away_number:1836	away_cali:0.494553376906	away_model:0.384686267308	end_number:1836	end_cali:0.047385620915	end_model:0.168702557813	kld:0.0756693779053	mae:0.0808779579156
Bin:period_3-scoreDifferential_2-zone_nz-manpowerSituation_powerPlay-home_away_0-	home_number:1318	home_cali:0.343702579666	home_model:0.376019799305	away_number:1318	away_cali:0.54779969651	away_model:0.358746319297	end_number:1318	end_cali:0.108497723824	end_model:0.265233881579	kld:0.104009310851	mae:0.126035584869
Bin:period_2-scoreDifferential_6-zone_oz-manpowerSituation_powerPlay-home_away_0-	home_number:139	home_cali:0.00719424460432	home_model:0.395494065589	away_number:139	away_cali:0.992805755396	away_model:0.408400964756	end_number:139	end_cali:0.0	end_model:0.196104966533	kld:0.853068745275	mae:0.389603192719
Bin:period_2-scoreDifferential_-4-zone_nz-manpowerSituation_evenStrength-home_away_0-	home_number:1510	home_cali:0.37880794702	home_model:0.413420895531	away_number:1510	away_cali:0.402649006623	away_model:0.368495238439	end_number:1510	end_cali:0.218543046358	end_model:0.218083866266	kld:0.0030276667413	mae:0.0230752989288
Bin:period_3-scoreDifferential_-2-zone_dz-manpowerSituation_evenStrength-home_away_0-	home_number:26688	home_cali:0.506032673861	home_model:0.367262628977	away_number:26688	away_cali:0.312350119904	away_model:0.34576563272	end_number:26688	end_cali:0.180568045564	end_model:0.286971738051	kld:0.04679662948	mae:0.0928630833959
Bin:period_1-scoreDifferential_3-zone_oz-manpowerSituation_evenStrength-home_away_0-	home_number:2018	home_cali:0.365708622398	home_model:0.444046221882	away_number:2018	away_cali:0.634291377602	away_model:0.392126797718	end_number:2018	end_cali:0.0	end_model:0.163826980989	kld:0.234064397397	mae:0.161443053452
Bin:period_3-scoreDifferential_3-zone_nz-manpowerSituation_shortHanded-home_away_1-	home_number:173	home_cali:0.277456647399	home_model:0.383528391233	away_number:173	away_cali:0.352601156069	away_model:0.340753382169	end_number:173	end_cali:0.369942196532	end_model:0.275718229182	kld:0.0309760182146	mae:0.0707144950281
Bin:period_2-scoreDifferential_-2-zone_oz-manpowerSituation_shortHanded-home_away_1-	home_number:396	home_cali:0.366161616162	home_model:0.414422385112	away_number:396	away_cali:0.633838383838	away_model:0.381704214998	end_number:396	end_cali:0.0	end_model:0.203873399339	kld:0.276115071046	mae:0.16808944571
Bin:period_1-scoreDifferential_1-zone_nz-manpowerSituation_powerPlay-home_away_0-	home_number:1932	home_cali:0.47049689441	home_model:0.442736337243	away_number:1932	away_cali:0.509316770186	away_model:0.39859840199	end_number:1932	end_cali:0.0201863354037	end_model:0.158665261696	kld:0.111834808651	mae:0.0923192838851
Bin:period_3-scoreDifferential_-7-zone_oz-manpowerSituation_powerPlay-home_away_0-	home_number:114	home_cali:0.0	home_model:0.273087398198	away_number:114	away_cali:0.210526315789	away_model:0.408516001545	end_number:114	end_cali:0.789473684211	end_model:0.318396599408	kld:0.577334166836	mae:0.314051389585
Bin:period_2-scoreDifferential_5-zone_nz-manpowerSituation_powerPlay-home_away_0-	home_number:76	home_cali:0.118421052632	home_model:0.46424721848	away_number:76	away_cali:0.881578947368	away_model:0.311733705825	end_number:76	end_cali:0.0	end_model:0.224019075695	kld:0.754675457688	mae:0.379896827696
Bin:period_3-scoreDifferential_2-zone_nz-manpowerSituation_shortHanded-home_away_0-	home_number:418	home_cali:0.27990430622	home_model:0.375888089529	away_number:418	away_cali:0.492822966507	away_model:0.344509510903	end_number:418	end_cali:0.227272727273	end_model:0.279602397002	kld:0.0468215958992	mae:0.0988756362141
Bin:period_3-scoreDifferential_0-zone_oz-manpowerSituation_powerPlay-home_away_0-	home_number:8434	home_cali:0.399928859379	home_model:0.37027451354	away_number:8434	away_cali:0.436921982452	away_model:0.370371324951	end_number:8434	end_cali:0.163149158169	end_model:0.259354162024	kld:0.0273875805317	mae:0.0641366690647
Bin:period_1-scoreDifferential_1-zone_nz-manpowerSituation_evenStrength-home_away_0-	home_number:22211	home_cali:0.473188960425	home_model:0.449383004242	away_number:22211	away_cali:0.513979559678	away_model:0.389977702365	end_number:22211	end_cali:0.0128314798973	end_model:0.160639293904	kld:0.133903818184	mae:0.0985385425007
Bin:period_3-scoreDifferential_5-zone_oz-manpowerSituation_evenStrength-home_away_0-	home_number:3576	home_cali:0.178691275168	home_model:0.349926722561	away_number:3576	away_cali:0.185682326622	away_model:0.364492205607	end_number:3576	end_cali:0.634787472036	end_model:0.285581072225	kld:0.261716801703	mae:0.23308390873
Bin:period_4-scoreDifferential_-1-zone_oz-manpowerSituation_evenStrength-home_away_0-	home_number:40	home_cali:0.0	home_model:0.301341321133	away_number:40	away_cali:0.0	away_model:0.316275877133	end_number:40	end_cali:0.95	end_model:0.382382805369	kld:0.864537776566	mae:0.395078130966
Bin:period_3-scoreDifferential_4-zone_oz-manpowerSituation_powerPlay-home_away_1-	home_number:1062	home_cali:0.19868173258	home_model:0.338729647663	away_number:1062	away_cali:0.306967984934	away_model:0.392273339566	end_number:1062	end_cali:0.4934086629	end_model:0.268997013451	kld:0.118050579961	mae:0.149921639721
Bin:period_2-scoreDifferential_-1-zone_oz-manpowerSituation_evenStrength-home_away_1-	home_number:49536	home_cali:0.481367086563	home_model:0.417405872848	away_number:49536	away_cali:0.463824289406	away_model:0.376117758594	end_number:49536	end_cali:0.054808624031	end_model:0.206476368692	kld:0.0931534456957	mae:0.101111829729
Bin:period_2-scoreDifferential_-6-zone_nz-manpowerSituation_powerPlay-home_away_1-	home_number:7	home_cali:1.0	home_model:0.334018605096	away_number:7	away_cali:0.0	away_model:0.43803648012	end_number:7	end_cali:0.0	end_model:0.227944923299	kld:1.09655857921	mae:0.443987599441
Bin:period_3-scoreDifferential_3-zone_nz-manpowerSituation_evenStrength-home_away_1-	home_number:5437	home_cali:0.405922383667	home_model:0.360200583282	away_number:5437	away_cali:0.133529519956	away_model:0.345585011068	end_number:5437	end_cali:0.459076696708	end_model:0.294214406181	kld:0.125779860156	mae:0.140879860674
Bin:period_3-scoreDifferential_3-zone_oz-manpowerSituation_powerPlay-home_away_0-	home_number:2719	home_cali:0.227289444649	home_model:0.381228620828	away_number:2719	away_cali:0.371827877896	away_model:0.356771244609	end_number:2719	end_cali:0.400882677455	end_model:0.262000135823	kld:0.0683264991763	mae:0.102626117033
Bin:period_2-scoreDifferential_3-zone_nz-manpowerSituation_evenStrength-home_away_0-	home_number:5328	home_cali:0.490052552553	home_model:0.41204373044	away_number:5328	away_cali:0.466028528529	away_model:0.375074159681	end_number:5328	end_cali:0.0439189189189	end_model:0.212882109736	kld:0.116831077922	mae:0.112642127259
Bin:period_2-scoreDifferential_-2-zone_dz-manpowerSituation_powerPlay-home_away_0-	home_number:2109	home_cali:0.457562825984	home_model:0.421371038348	away_number:2109	away_cali:0.513513513514	away_model:0.374627446933	end_number:2109	end_cali:0.0289236605026	end_model:0.204001515454	kld:0.143135496399	mae:0.116718569722
Bin:period_2-scoreDifferential_-6-zone_oz-manpowerSituation_powerPlay-home_away_1-	home_number:77	home_cali:1.0	home_model:0.323164685593	away_number:77	away_cali:0.0	away_model:0.450207735424	end_number:77	end_cali:0.0	end_model:0.226627582079	kld:1.1295932187	mae:0.45122354397
