Bin:all	home_number:4532064	home_cali:0.42193578908	home_model:0.420020000453	away_number:4532064	away_cali:0.467705663468	away_model:0.375441804343	end_number:4532064	end_cali:0.110112081383	end_model:0.204538195013	kld:0.0365042179127	mae:0.0628685871273
Bin:period_3-scoreDifferential_0-zone_dz-manpowerSituation_evenStrength-home_away_1-	home_number:59253	home_cali:0.421109479689	home_model:0.36293144673	away_number:59253	away_cali:0.409143840818	away_model:0.354875835381	end_number:59253	end_cali:0.169746679493	end_model:0.282192717993	kld:0.0345514136848	mae:0.0749640256321
Bin:period_2-scoreDifferential_3-zone_oz-manpowerSituation_shortHanded-home_away_1-	home_number:92	home_cali:0.380434782609	home_model:0.420641004867	away_number:92	away_cali:0.565217391304	away_model:0.389238128418	end_number:92	end_cali:0.054347826087	end_model:0.190120865291	kld:0.104559154198	mae:0.117319508116
Bin:period_2-scoreDifferential_6-zone_oz-manpowerSituation_evenStrength-home_away_0-	home_number:268	home_cali:0.14552238806	home_model:0.421794341349	away_number:268	away_cali:0.652985074627	away_model:0.36889700454	end_number:268	end_cali:0.201492537313	end_model:0.209308653528	kld:0.210347005579	mae:0.18939204653
Bin:period_1-scoreDifferential_-3-zone_dz-manpowerSituation_evenStrength-home_away_0-	home_number:1836	home_cali:0.458061002179	home_model:0.458606260567	away_number:1836	away_cali:0.494553376906	away_model:0.385110330251	end_number:1836	end_cali:0.047385620915	end_model:0.156283409402	kld:0.0666076007826	mae:0.0729620311769
Bin:period_3-scoreDifferential_2-zone_nz-manpowerSituation_powerPlay-home_away_0-	home_number:1318	home_cali:0.343702579666	home_model:0.38025696388	away_number:1318	away_cali:0.54779969651	away_model:0.363447929629	end_number:1318	end_cali:0.108497723824	end_model:0.256295104999	kld:0.0967448972433	mae:0.122901177423
Bin:period_2-scoreDifferential_6-zone_oz-manpowerSituation_powerPlay-home_away_0-	home_number:139	home_cali:0.00719424460432	home_model:0.404463133044	away_number:139	away_cali:0.992805755396	away_model:0.410115012732	end_number:139	end_cali:0.0	end_model:0.185421849531	kld:0.848749355944	mae:0.388460493545
Bin:period_2-scoreDifferential_-4-zone_nz-manpowerSituation_evenStrength-home_away_0-	home_number:1510	home_cali:0.37880794702	home_model:0.417737111212	away_number:1510	away_cali:0.402649006623	away_model:0.376650602948	end_number:1510	end_cali:0.218543046358	end_model:0.205612286817	kld:0.00314869234602	mae:0.0259527758027
Bin:period_3-scoreDifferential_-2-zone_dz-manpowerSituation_evenStrength-home_away_0-	home_number:26688	home_cali:0.506032673861	home_model:0.368916233855	away_number:26688	away_cali:0.312350119904	away_model:0.352309533379	end_number:26688	end_cali:0.180568045564	end_model:0.278774232976	kld:0.0439002139693	mae:0.0917606802978
Bin:period_1-scoreDifferential_3-zone_oz-manpowerSituation_evenStrength-home_away_0-	home_number:2018	home_cali:0.365708622398	home_model:0.457961369103	away_number:2018	away_cali:0.634291377602	away_model:0.391911969012	end_number:2018	end_cali:0.0	end_model:0.15012666253	kld:0.223127623841	mae:0.161586272608
Bin:period_3-scoreDifferential_3-zone_nz-manpowerSituation_shortHanded-home_away_1-	home_number:173	home_cali:0.277456647399	home_model:0.382793953136	away_number:173	away_cali:0.352601156069	away_model:0.35107008553	end_number:173	end_cali:0.369942196532	end_model:0.266135966502	kld:0.0340764849132	mae:0.0702248687689
